name,lat,lon,service_category,address,type,source
Comité social centre-sud,45.520192,-73.55952,community_service_211,1710 Beaudry,community_centre,openstreetmap
Centre Communautaire Notre-Dame-de-Grâce,45.476145,-73.613761,community_service_211,,community_centre,openstreetmap
Société Saint-Vincent-de-Paul Saint-André-Apôtre,45.547351,-73.670132,community_service_211,10534 Rue Waverly,charity,openstreetmap
Manoir Pierrefonds,45.462993,-73.898759,community_service_211,,group_home,openstreetmap
Centre D'Encadrement Pour Jeunes Femmes Immigrantes,45.521948,-73.692259,community_service_211,,community_centre,openstreetmap
Centre des Femmes de Saint-Laurent,45.510375,-73.676207,community_service_211,,community_centre,openstreetmap
Le Châteaubriand,45.631384,-73.590337,community_service_211,7985,community_centre,openstreetmap
Forêt Dorée,45.52844,-73.547134,community_service_211,,community_centre,openstreetmap
Maison de la famille de Saint-Léonard,45.585452,-73.593464,community_service_211,8180 Rue Collerette,social_centre,openstreetmap
Seena Cultural Centre,45.46151,-73.62335,community_service_211,,community_centre,openstreetmap
Résidence pour personnes âgées,45.538831,-73.614427,community_service_211,,group_home,openstreetmap
Le Phare,45.61706,-73.614067,food_bank,11835 Boulevard Langelier,food_bank,openstreetmap
CSHLD du Château-sur-le-Lac,45.477913,-73.874403,community_service_211,16289 Boulevard Gouin Ouest,nursing_home,openstreetmap
Centre d'hébergement Les Cèdres,45.516779,-73.680274,community_service_211,1275 Boulevard de la Côte-Vertu,nursing_home,openstreetmap
Excelsoins Ste-Geneviève,45.47644,-73.874807,community_service_211,16375 Boulevard Gouin Ouest,group_home,openstreetmap
"Unité d'hébergement, Hôpital Lasalle",45.421396,-73.622893,community_service_211,,nursing_home,openstreetmap
Bingo,45.43958,-73.6829,community_service_211,2005 Saint-Antoine,social_centre,openstreetmap
Centre d'hébergement Saint-Andrew,45.463111,-73.628904,community_service_211,3350 Boulevard Cavendish,nursing_home,openstreetmap
Maison l'Étincelle,45.469041,-73.56781,community_service_211,,nursing_home,openstreetmap
Banque Alimentaire FDOI,45.508708,-73.805728,community_service_211,,social_facility,openstreetmap
Fonds d'Aide de l'Ouest-de-l'Île,45.509799,-73.806356,community_service_211,,social_facility,openstreetmap
Royal Canadian Legion Hall,45.51054,-73.810097,community_service_211,,social_centre,openstreetmap
Résidence Lacordaire Iléana,45.583586,-73.578792,community_service_211,,group_home,openstreetmap
Résidence Les Jardins Gordon,45.46122,-73.577741,community_service_211,,group_home,openstreetmap
CHSLD Éloria-Lepage,45.576972,-73.541908,community_service_211,3090 Avenue de la Pépinière,nursing_home,openstreetmap
Centre de protection de l'enfance et de la jeunesse Henri-Bourassa Est,45.560676,-73.666047,community_service_211,,healthcare,openstreetmap
Résidence J.A. De Sève,45.513575,-73.555861,community_service_211,,group_home,openstreetmap
CHSLD Jeanne-Le Ber,45.589597,-73.527693,community_service_211,,nursing_home,openstreetmap
Service des Loisirs et du Développement communautaire,45.544152,-73.697967,community_service_211,,community_centre,openstreetmap
Centre Communautaire Arménien,45.532658,-73.697327,community_service_211,3401 Rue Olivar Asselin,community_centre,openstreetmap
CHSLD Robert-Cliche,45.557576,-73.578945,community_service_211,,nursing_home,openstreetmap
CHSLD Providence-Saint-Joseph,45.578814,-73.567463,community_service_211,,nursing_home,openstreetmap
Résidence L'image d'Outremont,45.518626,-73.622237,community_service_211,1040 Avenue Rockland,group_home,openstreetmap
CHSLD Saint-Georges,45.512005,-73.572582,community_service_211,,nursing_home,openstreetmap
Manoir Saint-Joseph,45.567461,-73.651145,community_service_211,,group_home,openstreetmap
CHSLD Vigi Reine-Élizabeth,45.473991,-73.606213,community_service_211,,nursing_home,openstreetmap
CHSLD Auclair,45.539536,-73.6086,community_service_211,,nursing_home,openstreetmap
Résidence Parc Jarry,45.538373,-73.628706,community_service_211,,group_home,openstreetmap
Les Résidences Soleil Manoir Saint-Léonard,45.583211,-73.585436,community_service_211,,group_home,openstreetmap
Le Château BeauRivage,45.627673,-73.61982,community_service_211,,group_home,openstreetmap
Centre d’hébergement Henri-Bradet,45.472051,-73.645082,community_service_211,,nursing_home,openstreetmap
Résidence Le Saint-Michel,45.558054,-73.597031,community_service_211,7070 Boulevard Saint-Michel,group_home,openstreetmap
Manoir Claudette Barré,45.597304,-73.535481,community_service_211,,group_home,openstreetmap
Vent de l’Ouest,45.48193,-73.861803,community_service_211,,group_home,openstreetmap
Centre d'hébergement Floralies de Lachine,45.440959,-73.691977,community_service_211,,nursing_home,openstreetmap
Résidence Cité Rive,45.630609,-73.617781,community_service_211,,group_home,openstreetmap
Résidence Anjou,45.604472,-73.547456,community_service_211,,group_home,openstreetmap
Centre d'hébergement Ernest-Routhier,45.521245,-73.564306,community_service_211,,nursing_home,openstreetmap
Résidence Bellerive,45.674836,-73.492465,community_service_211,,group_home,openstreetmap
