ct_code,dguid,centroid_lon,centroid_lat
4620305.00,2021S05074620305.00,-73.565831,45.46093
4620306.00,2021S05074620306.00,-73.564698,45.456971
4620307.00,2021S05074620307.00,-73.569708,45.457046
4620308.00,2021S05074620308.00,-73.574039,45.45722
4620309.00,2021S05074620309.00,-73.578375,45.45714
4620310.00,2021S05074620310.00,-73.580825,45.451353
4620311.00,2021S05074620311.00,-73.570567,45.453089
4620312.00,2021S05074620312.00,-73.571907,45.449644
4620313.00,2021S05074620313.00,-73.578619,45.447059
4620314.00,2021S05074620314.00,-73.582276,45.445534
4620315.00,2021S05074620315.00,-73.584993,45.442327
4620316.00,2021S05074620316.00,-73.589283,45.438053
4620320.00,2021S05074620320.00,-73.594008,45.433842
4620321.00,2021S05074620321.00,-73.587115,45.426236
4620323.00,2021S05074620323.00,-73.624638,45.417886
4620327.00,2021S05074620327.00,-73.648615,45.423976
4620329.00,2021S05074620329.00,-73.660012,45.429778
4620330.00,2021S05074620330.00,-73.652133,45.447828
4620340.00,2021S05074620340.00,-73.649431,45.452919
4620350.00,2021S05074620350.00,-73.588501,45.48293
4620351.00,2021S05074620351.00,-73.591707,45.485686
4620352.00,2021S05074620352.00,-73.59914,45.478475
4620353.00,2021S05074620353.00,-73.603635,45.481403
4620354.00,2021S05074620354.00,-73.605953,45.484979
4620355.00,2021S05074620355.00,-73.594547,45.489731
4620356.00,2021S05074620356.00,-73.608653,45.490291
4620360.00,2021S05074620360.00,-73.602001,45.51071
4620361.00,2021S05074620361.00,-73.615907,45.508966
4620362.00,2021S05074620362.00,-73.609298,45.51588
4620363.00,2021S05074620363.00,-73.600709,45.51895
4620364.00,2021S05074620364.00,-73.612365,45.524438
4620365.00,2021S05074620365.00,-73.613908,45.522527
4620366.00,2021S05074620366.00,-73.615037,45.517121
4620367.00,2021S05074620367.00,-73.620539,45.51895
4620370.00,2021S05074620370.00,-73.64547,45.480892
4620380.00,2021S05074620380.00,-73.652411,45.472083
4620381.00,2021S05074620381.00,-73.66141,45.460103
4620385.00,2021S05074620385.00,-73.63486,45.481424
4620390.00,2021S05074620390.00,-73.663239,45.435641
4620391.00,2021S05074620391.00,-73.674632,45.43318
4620392.00,2021S05074620392.00,-73.682862,45.432694
4620393.00,2021S05074620393.00,-73.677339,45.440651
4620394.00,2021S05074620394.00,-73.663972,45.443815
4620396.00,2021S05074620396.00,-73.705725,45.43831
4620397.00,2021S05074620397.00,-73.709601,45.445414
4620400.00,2021S05074620400.00,-73.632082,45.520228
4620401.00,2021S05074620401.00,-73.644413,45.509719
4620402.00,2021S05074620402.00,-73.668073,45.494992
4620403.00,2021S05074620403.00,-73.653617,45.512353
4620404.00,2021S05074620404.00,-73.645281,45.523505
4620412.00,2021S05074620412.00,-73.678211,45.503865
4620418.00,2021S05074620418.00,-73.678048,45.510445
4620419.00,2021S05074620419.00,-73.689948,45.518328
4620420.00,2021S05074620420.00,-73.687845,45.52225
4620733.01,2021S05074620733.01,-74.135672,45.611117
4620430.00,2021S05074620430.00,-73.730763,45.443175
4620431.00,2021S05074620431.00,-73.751268,45.443527
4620432.00,2021S05074620432.00,-73.7701,45.444987
4620433.00,2021S05074620433.00,-73.754173,45.466096
4620440.00,2021S05074620440.00,-73.741591,45.432355
4620450.00,2021S05074620450.00,-73.814452,45.438447
4620451.00,2021S05074620451.00,-73.797025,45.453826
4620452.00,2021S05074620452.00,-73.82791,45.450537
4620460.00,2021S05074620460.00,-73.857562,45.428319
4620461.00,2021S05074620461.00,-73.888322,45.420776
4620480.00,2021S05074620480.00,-73.914466,45.417748
4620490.00,2021S05074620490.00,-73.950367,45.406011
4620491.00,2021S05074620491.00,-73.931584,45.427583
4620500.00,2021S05074620500.00,-73.954979,45.432589
4620733.02,2021S05074620733.02,-74.19592,45.542399
4620903.13,2021S05074620903.13,-73.252879,45.605413
