ï»¿Dissemination Area (DA),Province or territory,Dimension 1 Scores,Dimension 2 Scores,Dimension 3 Scores,Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension,da_str
24580199,Quebec,0.15663,-0.01476,-0.13843,0.6518,0.16381,4,Dimension 4,24580199
24580200,Quebec,-0.26975,-0.57407,-0.48941,0.83904,-0.12354,3,Dimension 4,24580200
24580201,Quebec,0.19706,0.18023,0.29806,0.31449,0.24746,4,Dimension 4,24580201
24580202,Quebec,0.72608,0.3942,0.25344,1.45442,0.70703,5,Dimension 4,24580202
24580203,Quebec,-0.3773,1.20917,-1.01461,-0.56951,-0.18806,3,Dimension 2,24580203
24580204,Quebec,0.8716,0.52842,0.42758,0.84276,0.66759,5,Dimension 1,24580204
24580205,Quebec,0.44721,-0.75104,0.3975,0.80079,0.22362,4,Dimension 4,24580205
24580206,Quebec,-0.25234,-0.72382,0.15606,0.30931,-0.1277,3,Dimension 4,24580206
24580207,Quebec,0.47251,-0.07245,-0.08183,0.23372,0.13799,4,Dimension 1,24580207
24580208,Quebec,-0.08454,-0.37019,-0.59963,1.04657,-0.00195,3,Dimension 4,24580208
24580209,Quebec,-0.25524,0.01485,0.12165,0.968,0.21232,4,Dimension 4,24580209
24580210,Quebec,0.44994,0.23803,0.21035,0.95884,0.46429,5,Dimension 4,24580210
24580211,Quebec,0.30049,0.84871,0.22591,0.95195,0.58176,5,Dimension 4,24580211
24580212,Quebec,0.85234,0.54176,-1.68521,1.26585,0.24369,4,Dimension 4,24580212
24580213,Quebec,-0.00436,0.95855,0.39542,0.23138,0.39525,4,Dimension 2,24580213
24580214,Quebec,0.03386,-0.31406,-0.16258,-0.02521,-0.117,3,Dimension 1,24580214
24580215,Quebec,-0.07781,-0.59073,0.31815,0.57685,0.05661,4,Dimension 4,24580215
24580216,Quebec,0.36046,-0.75036,0.30386,0.41164,0.0814,4,Dimension 4,24580216
24580217,Quebec,-0.48574,-0.32642,-0.84711,-0.80928,-0.61714,1,Dimension 2,24580217
24580218,Quebec,-0.49326,-0.10531,-0.4904,-0.67646,-0.44136,2,Dimension 2,24580218
24580219,Quebec,-0.07535,-0.75564,-0.80782,-0.71092,-0.58743,1,Dimension 1,24580219
24580220,Quebec,0.69399,0.38529,-0.59027,0.85964,0.33716,4,Dimension 4,24580220
24580221,Quebec,0.65536,-0.04482,0.1329,0.93905,0.42062,5,Dimension 4,24580221
24580222,Quebec,0.20409,2.84565,-0.58043,-0.05888,0.60261,5,Dimension 2,24580222
24580223,Quebec,-0.31533,0.67301,-0.19984,-1.29326,-0.28386,2,Dimension 2,24580223
24580224,Quebec,-0.16875,0.101,0.39287,0.01653,0.08541,4,Dimension 3,24580224
24580225,Quebec,0.23814,0.11349,0.15756,-0.20834,0.07521,4,Dimension 1,24580225
24580226,Quebec,2.63258,-0.84444,0.09203,1.73554,0.90393,5,Dimension 1,24580226
24580229,Quebec,1.61112,0.09317,2.42146,0.75926,1.22125,5,Dimension 3,24580229
24580232,Quebec,0.96681,-0.49828,1.59813,1.42728,0.87349,5,Dimension 3,24580232
24580234,Quebec,-0.49262,-0.99897,-0.83464,-0.93821,-0.81611,1,Dimension 1,24580234
24580235,Quebec,-0.38707,0.1867,-1.03656,-0.14735,-0.34607,2,Dimension 2,24580235
24580237,Quebec,-0.32666,-0.17399,-0.29865,-0.52981,-0.33228,2,Dimension 2,24580237
24580238,Quebec,0.89075,-0.18907,0.33717,0.87142,0.47757,5,Dimension 1,24580238
24580239,Quebec,-0.04601,-0.56591,0.14466,0.027,-0.11007,3,Dimension 3,24580239
24580240,Quebec,-0.40109,0.77297,-0.63183,-1.12988,-0.34746,2,Dimension 2,24580240
24580241,Quebec,1.50256,-0.41559,5.36806,-1.18678,1.31706,5,Dimension 3,24580241
24580242,Quebec,-0.63106,-0.11243,-0.80705,-1.1128,-0.66584,1,Dimension 2,24580242
24580243,Quebec,-0.57363,-0.63251,-1.1925,-1.20714,-0.90144,1,Dimension 1,24580243
24580244,Quebec,-0.52224,-1.28635,-1.0133,-0.39146,-0.80334,1,Dimension 4,24580244
24580246,Quebec,-0.55409,0.12946,-0.61374,-0.54098,-0.39484,2,Dimension 2,24580246
24580247,Quebec,-0.58269,-0.93899,-0.54886,-0.78246,-0.71325,1,Dimension 3,24580247
24580248,Quebec,-0.66828,-0.9596,-1.00291,-0.06673,-0.67438,1,Dimension 4,24580248
24580249,Quebec,0.42345,0.07444,-0.18635,1.21198,0.38088,4,Dimension 4,24580249
