ct_code,dguid,geo_name,population_2021,low_income_pct,seniors_65plus_pct,recent_immigrant_pct,no_official_language_pct,shelter_cost_burden_pct,indigenous_identity_pct,indigenous_identity_count,total_indigenous_identity_universe
4620877.01,2021S05074620877.01,4620877.01,9316,5.2,33.1,1.34,0.61,17.58,0.93,80,8580
4620877.02,2021S05074620877.02,4620877.02,6294,12.8,25.4,5.02,1.53,17.4,0.68,40,5880
4620878,2021S05074620878.00,4620878,5457,18.4,16.9,5.16,0.64,21.98,2.06,110,5330
4620879.01,2021S05074620879.01,4620879.01,3471,19.8,16.4,5.2,1.15,22.47,0.84,30,3555
4620879.02,2021S05074620879.02,4620879.02,3838,11.9,19.1,2.85,0.39,18.49,2.04,75,3680
4620880,2021S05074620880.00,4620880,4166,14.7,17.9,5.87,0.48,19.82,1.64,70,4265
4620881.01,2021S05074620881.01,4620881.01,3576,15,15.8,2.52,0.84,17.58,2.95,105,3560
4620881.02,2021S05074620881.02,4620881.02,3801,17.2,13.6,6.22,1.06,20.05,2.25,85,3780
4620882,2021S05074620882.00,4620882,2870,18.1,15.3,5.9,0.88,18.71,1.25,35,2800
4620883,2021S05074620883.00,4620883,2702,14.1,18.1,5.16,1.17,22.39,1.19,30,2525
4620884.01,2021S05074620884.01,4620884.01,3593,19.6,19.5,14.05,2.92,30.99,0.55,20,3630
4620884.02,2021S05074620884.02,4620884.02,7584,18.1,28.1,2.89,0.8,20.39,1.01,75,7440
4620885,2021S05074620885.00,4620885,4052,14.1,30.4,4.64,0.66,20.94,0.95,35,3665
4620886.01,2021S05074620886.01,4620886.01,3027,8,19.5,0.84,0.83,12.71,1.18,35,2960
4620886.02,2021S05074620886.02,4620886.02,2995,5.4,16.5,1.53,0.5,9.88,1.7,50,2940
4620886.03,2021S05074620886.03,4620886.03,3349,15,24.2,4.31,0.78,14.07,1.69,55,3250
4620887.03,2021S05074620887.03,4620887.03,3648,2.6,21.1,1.25,0.27,5.26,0.42,15,3610
4620887.04,2021S05074620887.04,4620887.04,5120,5.8,23.1,1.74,0.39,13.58,0.87,45,5160
4620887.05,2021S05074620887.05,4620887.05,4640,3.4,23.3,1.92,0.43,8.38,1.18,55,4675
4620887.06,2021S05074620887.06,4620887.06,4384,2.4,15.8,1.96,0.34,6.85,0.69,30,4345
4620887.07,2021S05074620887.07,4620887.07,15,,,,,,,,
4620888.01,2021S05074620888.01,4620888.01,3090,3.5,15.9,0.67,0.32,11.9,0.67,20,2985
4620888.02,2021S05074620888.02,4620888.02,5443,2.2,24.7,1.78,0.55,7.32,0.37,20,5340
4620888.03,2021S05074620888.03,4620888.03,5245,4,40.5,1.57,0.21,14.25,0.31,15,4795
4620889.01,2021S05074620889.01,4620889.01,2562,13.8,34.2,0,0,18.97,1.24,30,2425
4620889.02,2021S05074620889.02,4620889.02,2944,5.1,23.3,2.05,0.34,14.87,0.85,25,2930
4620889.03,2021S05074620889.03,4620889.03,4652,4,24.5,0.65,0.32,7.3,1.19,55,4605
4620900,2021S05074620900.00,4620900,4741,7.2,26.7,0.21,0.21,13.86,0.96,45,4705
4620901.01,2021S05074620901.01,4620901.01,4843,9.9,23.1,0.2,0.31,17.42,0.81,40,4915
4620901.02,2021S05074620901.02,4620901.02,4270,5.9,20.6,0.61,0.12,7.76,1.34,55,4095
4620901.03,2021S05074620901.03,4620901.03,10250,3.5,17.7,0.65,0.15,16.26,0.7,70,10030
4620902,2021S05074620902.00,4620902,5936,5.7,20.2,0.27,0.17,12.86,0.98,55,5590
4620903.01,2021S05074620903.01,4620903.01,6826,5.3,21.9,0.3,0.22,13.15,0.81,55,6775
4620903.04,2021S05074620903.04,4620903.04,4142,4.3,22.4,0.37,0.12,7.41,1.47,60,4090
4620903.05,2021S05074620903.05,4620903.05,3753,3.3,16.5,1.33,0.13,7.9,0.8,30,3760
4620903.08,2021S05074620903.08,4620903.08,2596,3.8,14.6,0,0.19,7.88,2.0,50,2505
4620903.09,2021S05074620903.09,4620903.09,6496,6.5,10.2,1.16,0.23,13.59,1.0,65,6490
4620903.1,2021S05074620903.10,4620903.1,6826,6.6,9.7,1.46,0.22,13.55,1.68,115,6830
4620903.11,2021S05074620903.11,4620903.11,3800,2,7,0.68,0.13,5.56,1.36,50,3690
4620903.12,2021S05074620903.12,4620903.12,6232,2.9,13.2,0.63,0.16,14.23,1.18,75,6340
4620903.13,2021S05074620903.13,4620903.13,2952,4,21,0,0.17,16.88,2.37,70,2950
